Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
simple,IPH-SCR-12,iPhone 12 Screen Replacement,1,1,visible,"High-quality iPhone 12 screen replacement","Professional grade iPhone 12 screen replacement with lifetime warranty. Includes all necessary tools and installation guide.",,,,taxable,,1,50,5,0,0,0.5,6,3,0.3,1,,89.99,99.99,"iPhone Parts > Screens","iPhone,Screen,Repair,Parts",,"/assets/products/iphone-12-screen.jpg",,,,,,,,,0
simple,IPH-BAT-12,iPhone 12 Battery Replacement,1,0,visible,"OEM quality iPhone 12 battery","Original Equipment Manufacturer quality iPhone 12 battery replacement. 2915mAh capacity with installation tools included.",,,,taxable,,1,75,10,0,0,0.2,4,2,0.1,1,,39.99,49.99,"iPhone Parts > Batteries","iPhone,Battery,Repair,Parts",,"/assets/products/iphone-12-battery.jpg",,,,,,,,,1
simple,SAM-SCR-S21,Samsung Galaxy S21 Screen,1,1,visible,"Samsung S21 OLED display","Premium OLED display replacement for Samsung Galaxy S21. Perfect color reproduction and touch sensitivity.",,,,taxable,,1,30,5,0,0,0.4,6.2,2.9,0.2,1,,129.99,149.99,"Samsung Parts > Screens","Samsung,Screen,OLED,Repair",,"/assets/products/samsung-s21-screen.jpg",,,,,,,,,2
simple,IPD-SCR-AIR4,iPad Air 4 Screen Assembly,1,0,visible,"iPad Air 4th Gen screen","Complete screen assembly for iPad Air 4th generation including digitizer and LCD.",,,,taxable,,1,20,3,0,0,1.2,9.8,6.8,0.3,1,,199.99,229.99,"iPad Parts > Screens","iPad,Screen,Air,Repair",,"/assets/products/ipad-air4-screen.jpg",,,,,,,,,3
simple,MAC-SSD-1TB,MacBook SSD 1TB Upgrade,1,1,visible,"1TB NVMe SSD for MacBook","High-speed 1TB NVMe SSD upgrade compatible with MacBook Pro and Air models 2018+.",,,,taxable,,1,15,2,0,0,0.1,3,1,0.1,1,,299.99,349.99,"MacBook Parts > Storage","MacBook,SSD,Storage,Upgrade",,"/assets/products/macbook-ssd-1tb.jpg",,,,,,,,,4
simple,TOOL-KIT-PRO,Professional Repair Tool Kit,1,1,visible,"Complete repair tool set","Professional 64-piece repair tool kit for smartphones, tablets, and laptops. Includes precision screwdrivers, spudgers, and opening tools.",,,,taxable,,1,100,10,0,0,2.5,12,8,2,1,,79.99,99.99,"Tools > Repair Kits","Tools,Repair,Kit,Professional",,"/assets/products/tool-kit-pro.jpg",,,,,,,,,5
simple,ADHES-STRIP-IPH,iPhone Adhesive Strips,1,0,visible,"iPhone adhesive strips pack","Pack of 10 pre-cut adhesive strips for iPhone battery and screen installations.",,,,taxable,,1,200,20,0,0,0.1,4,3,0.1,1,,9.99,12.99,"Tools > Adhesives","Adhesive,iPhone,Installation,Tools",,"/assets/products/adhesive-strips.jpg",,,,,,,,,6
variable,CASE-PROT-VAR,Device Protection Cases,1,1,visible,"Protective cases for devices","High-quality protective cases available for various device models.",,,,taxable,,1,,,0,0,0.3,6,3,0.5,1,,19.99,29.99,"Accessories > Cases","Case,Protection,Accessories",,"/assets/products/protection-cases.jpg",,,,,,,,,7
service,REP-SRV-SCR,Screen Repair Service,1,1,visible,"Professional screen repair","Expert screen repair service with same-day turnaround and warranty.",,,,taxable,,1,,,0,1,,,,,1,,99.99,149.99,"Services > Repair","Service,Repair,Screen,Professional",,"/assets/products/repair-service.jpg",,,,,,,,,8
service,REP-SRV-BAT,Battery Replacement Service,1,0,visible,"Battery replacement service","Professional battery replacement with genuine parts and 6-month warranty.",,,,taxable,,1,,,0,1,,,,,1,,69.99,89.99,"Services > Repair","Service,Battery,Replacement",,"/assets/products/battery-service.jpg",,,,,,,,,9
